SITE_ID,Week,Year,DATEOFF,Ca,Cl,HNO3,HNO3 PPB,K,Mg,Na,NH4,NO3,SO2,SO2 PPB,SO4,TNO3,DATEON
BFT142,15,2024,4/16/24 8:00,0.293,2.386,0.213,0.083,0.097,0.199,1.487,0.25,0.828,0.433,0.165,1.102,1.038,4/9/24
BFT142,16,2020,4/21/20 8:00,0.136,1.45,0.305,0.118,0.086,0.15,1.161,0.187,0.62,0.305,0.116,1.323,0.92,4/14/20
BFT142,16,2021,4/20/21 8:00,0.206,0.368,0.472,0.183,0.059,0.074,0.491,0.405,0.909,0.387,0.148,1.191,1.373,4/13/21
BFT142,16,2022,4/26/22 8:00,0.132,0.487,0.279,0.108,0.041,0.075,0.547,0.181,0.733,0.217,0.083,0.819,1.008,4/19/22
BFT142,16,2023,4/25/23 8:00,0.424,0.804,0.49,0.19,0.089,0.115,0.637,0.328,0.83,0.529,0.202,1.457,1.312,4/18/23
BFT142,16,2024,4/23/24 8:00,0.226,1.028,0.24,0.093,0.099,0.128,0.953,0.343,1.229,0.552,0.211,1.244,1.465,4/16/24
BFT142,17,2020,4/28/20 8:00,0.156,1.872,0.21,0.081,0.094,0.171,1.326,0.174,0.785,0.389,0.148,1.085,0.991,4/21/20
BFT142,17,2021,4/27/21 8:00,0.277,0.413,0.655,0.254,0.07,0.092,0.598,0.225,0.612,0.403,0.154,1.382,1.257,4/20/21
BFT142,17,2022,5/3/22 8:00,0.364,1.134,0.368,0.143,0.086,0.141,0.968,0.262,1.09,0.448,0.171,1.336,1.453,4/26/22
BFT142,17,2023,5/2/23 8:00,0.176,1.721,0.259,0.1,0.092,0.169,1.258,0.275,0.711,0.305,0.116,1.486,0.966,4/25/23
BFT142,17,2024,4/30/24 8:00,0.208,2.579,0.245,0.095,0.103,0.233,1.762,0.15,1.066,0.367,0.14,1.226,1.307,4/23/24
BFT142,18,2020,5/5/20 8:00,0.126,2.008,0.258,0.1,0.087,0.169,1.341,0.215,0.676,0.378,0.144,1.012,0.93,4/28/20
BFT142,18,2021,5/4/21 8:00,0.262,1.889,0.349,0.135,0.104,0.189,1.44,0.385,1.028,0.301,0.115,1.653,1.372,4/27/21
BFT142,18,2022,5/10/22 8:00,0.256,2.357,0.189,0.073,0.109,0.212,1.654,0.345,1.244,0.402,0.153,1.544,1.43,5/3/22
BFT142,18,2023,5/9/23 8:00,0.225,0.616,0.335,0.13,0.062,0.08,0.523,0.218,0.56,0.384,0.147,0.79,0.89,5/2/23
BFT142,18,2024,5/7/24 8:00,0.136,1.444,0.172,0.067,0.077,0.141,1.089,0.243,0.845,0.388,0.148,1.174,1.015,4/30/24
BFT142,19,2020,5/12/20 8:00,0.168,0.557,0.332,0.129,0.051,0.072,0.444,0.254,0.444,0.382,0.146,0.759,0.77,5/5/20
BFT142,19,2021,5/11/21 8:00,0.321,1.988,0.358,0.139,0.105,0.201,1.491,0.345,1.067,0.343,0.131,1.56,1.42,5/4/21
BFT142,19,2022,5/17/22 8:00,0.119,1.96,0.179,0.069,0.076,0.17,1.403,0.144,0.803,0.223,0.085,0.957,0.98,5/10/22
BFT142,19,2023,5/16/23 8:00,0.2,1.899,0.317,0.123,0.22,0.199,1.502,0.219,1.084,0.642,0.245,1.421,1.396,5/9/23
